[2018-03-13 17:42:36] INFO  com.integrated.comm.mybatis.SQLInterceptor - 初始化MyBatis拦截器并加载SQL打印服务：com.integrated.comm.mybatis.SQLPrinterDefaultImpl@4584304
[2018-03-13 17:42:36] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@7d484fcd: startup date [Tue Mar 13 17:42:36 CST 2018]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@64beebb7
[2018-03-13 17:42:36] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[2018-03-13 17:42:36] 【广播服务】订阅, topic:EDU-BC-IMP, tags:stu_imp || fam_upd, listener:SV-DATA, instance:10.86.76.140:8002
[2018-03-13 17:42:37] 【广播服务】订阅, topic:EDU-BC-SCH, tags:null, listener:SV-DATA, instance:null
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error/404]}" onto public void com.integrated.edu.comm.restful.sv.SvMvcController.e404(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error/500]}" onto public void com.integrated.edu.comm.restful.sv.SvMvcController.e500(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error/403]}" onto public void com.integrated.edu.comm.restful.sv.SvMvcController.e403(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error/405]}" onto public void com.integrated.edu.comm.restful.sv.SvMvcController.e405(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error/400]}" onto public void com.integrated.edu.comm.restful.sv.SvMvcController.e400(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/card/get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Card> com.integrated.edu.data.web.CardController.get(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/card/reissue_save],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Object> com.integrated.edu.data.web.CardController.reissueSave(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Card,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/card/rec_paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.CardController.recPaging(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/card/loss_save],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Object> com.integrated.edu.data.web.CardController.lossSave(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Card)
